Listing Title,Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbrevation,Listing Region,Listing Region Abbrevation,Listing State,Listing State Abbrevation,Listing City,Listing City Abbrevation,Listing Neighborhood,Listing Neighborhood Abbrevation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Data,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Email,Account Contact URL
The Penthouse Club - Baton Rouge,The Penthouse Club - Baton Rouge Baton Rouge,info@penthousebatonrouge.com,https://batonrouge.penthouseclub.com/,4622 Bennington Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 923-0123,"Baton Rougeâs Elite Night Club Experience. The Penthouse Club offers a luxurious experience with themed events, a full bar, VIP rooms, and topless cabaret.","Welcome to The Penthouse Club! Youâre here because you seek excitement, adventure, and, above all else, an escape. No other night club in Baton Rouge can act as a portal into your most lavish fantasies. Visit the Penthouse Club and youâre sure to have a truly luxurious experience â one you wonât soon forget.

Our gentlemenâs club thrives on themed events. We frequently host a variety of exclusive affairs centered on such themes as Burlesque, naked sushi, surrealist art, and more. Take advantage of these events to commemorate a celebration on any scale â from taking on a new account, closing a major sale, or hosting your best friendâs bachelor or bachelorette party.

Enhance any evening with our full bar, diverse champagne list, VIP rooms, executive suites, topless cabaret, and other amenities. Donât settle for generic strip clubs or night clubs. Baton Rouge men and women know The Penthouse Club is the preferred location for a truly enjoyable experience. Browse our site to learn more about our upcoming events, our Penthouse Pets, our services, and more. Make reservations or visit us today.",,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,Nightlife->Bars->Cocktail Bars,Arts & Entertainment->Cabaret,,,New Listing Template,,,,,,,,,,,,,,,,
Illusions Gentlemen's Club,Illusions Gentlemen's Club Woodville,,https://www.facebook.com/StripClubKingWoodvilleMs/,1500 US Hwy 61 S,,United States,US,,,Mississippi,MS,Woodville,,,,39669,,,(601) 888-7755,Nude Strip Club $10.00 Admission BYOB.,,,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,,,,,New Listing Template,,,,,,,,,,,,,,,,
The Gold Club,The Gold Club Geismar,,https://goldclubgonzales.com/,37034 E Hwy 30,,United States,US,,,Louisiana,LA,Geismar,,,,70734,,,(225) 677-7236,Experience the Gold Standard,,,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment->Strip Clubs,,,,,New Listing Template,,,,,,,,,,,,,,,,
Candy's Mens Club,Candy's Mens Club Pine Grove,candysmensclubla@gmail.com,candysmensclub.com,41969 Hwy 16,,United States,US,,,Louisiana,LA,Pine Grove,,,,70453,,,(225) 955-4734,Adult entertainment nightclub and bar.,"Candy's Mens Club is an adult entertainment venue offering nightclub and bar services, including liquor, beer, strippers, draft beer, cabaret, exotic dancers, and entertainers.",,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,Nightlife->Bars->Lounges,Nightlife->Dance Clubs,,,New Listing Template,,,,,,,,,,,,,,,,
Crazy Horse Cabaret,Crazy Horse Cabaret Port Allen,,http://www.crazyhorseportallen.com,2901 I-10 Frontage Rd,,United States,US,,,Louisiana,LA,Port Allen,,,,70767,,,(225) 387-6444,"Crazy Horse Cabaret in Port Allen, LA, features food & drinks, photos, bottle service, career opportunities, and location & hours information. They offer free lunch, happy hour, and a dining menu.","Crazy Horse Cabaret in Port Allen offers free lunch Monday-Friday from 11:30am-2:30pm with daily specials like Chicken Fried Steak, Jambalaya, and Spaghetti & Meatballs. Happy Hour is Monday-Friday from 3:00pm - 7:00pm with specials on domestic beers, well cocktails, specialty beers, and wine. The dining menu includes appetizers, sides, entrees, and specials available all day & night. They also offer bottle service, and are always looking for new talent. Contact them to submit an application.",,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,,,,,New Listing Template,,,,,,,,,,,,,,,,
Cash Magic/Silver Fox Casino,Cash Magic/Silver Fox Casino Denham Springs,mhenry@bhwk.com,https://www.cashmagiccasino.com/,40249 La Hwy 16,,United States,US,,,Louisiana,LA,Denham Springs,,,,70706,,,(225) 665-8306,"Cash Magic Truck Plaza & Casino owns convenient locations throughout the beautiful state of Louisiana. They offer casinos featuring popular video poker games and brands, convenience stores, fueling stations and dine-in restaurants.","Cash Magic Truck Plaza & Casino owns convenient locations throughout the beautiful state of Louisiana. We currently operate in ten parishes: Caddo, Calcasieu, Jefferson, Lafourche, St. Helena, St. Landry, St. Martin, St. Mary, Terrebonne, and Webster. All of our locations are open 24 hours a day, 365 days a year, offering casinos featuring popular video poker games and brands, convenience stores, fueling stations and dine-in restaurants. At Cash Magic we are committed to providing a fun, exciting and safe gaming experience by offering exceptional service at a great value. We pride ourselves on being F.A.S.T.: Friendliness, Accountability, Service Excellence, Teamwork. Cash Magic Casinos operate over 1,100 video poker gaming devices within our locations across the state. We pride ourselves on being good corporate neighbors and proudly employ over 700 Louisiana residents.",,,12/31/2050,Active,Silver,Arts & Entertainment->Casinos,Nightlife->Adult Entertainment,,,,New Listing Template,,,,,,,,,,,,,,,,
The Ace of Clubs,The Ace of Clubs Thibodaux,,https://www.facebook.com/1999AceOfClubs,1999 Bayou Rd,,United States,US,,,Louisiana,LA,Thibodaux,,,,70301,,,(985) 492-2101,,,,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,,,,,New Listing Template,,,,,,,,,,,,,,,,
fun parties,fun parties Thibodaux,,https://www.yelp.com/biz/fun-parties-thibodaux,1122 Hwy 20,,United States,US,,,Louisiana,LA,Thibodaux,,,,70301,,,(985) 633-2904,Adult Entertainment,,,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,,,,,New Listing Template,,,,,,,,,,,,,,,,
Slumber Parties,Slumber Parties Baton Rouge,claudia@slumberparties.com,http://www.slumberpartiesinc.com,4224 Evan Brooks Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70814,,,(225) 262-0384,,,,,12/31/2050,Active,Silver,Nightlife->Adult Entertainment,,,,,New Listing Template,,,,,,,,,,,,,,,,
The Cedar Saloon,The Cedar Saloon Morganza,thecedarsaloon@gmail.com,https://www.thecedarsaloon.com/,7171 Morganza Hwy,,United States,US,,,Louisiana,LA,Morganza,,,,70759,,,(225) 618-6434,"A fun and lively night out spot in Morganza, LA.","The Cedar Saloon is now available to rent as an EVENT VENUE! It is located at 7171 Morganza Hwy, Morganza, LA 70759.",,,12/31/2050,Active,Silver,Nightlife->Bars->Pubs,Nightlife->Bar Crawl,,,,New Listing Template,,,,,,,,,,,,,,,,
